user,logins,web_visits,usb_usage,activity_score,web_log_ratio,usb_log_ratio,login_zscore,web_zscore,login_score,web_score,usb_score,behavior_score,risk_score,risk_level,alert,reason
DTAA/AAA0371,536,7085,0.0,7621.0,13.193668528864059,0.0,0.23738333670455744,0.9392161083967595,0.401848873965745,0.4603838004364957,1.0,0.5137079326552748,0.24073826559392597,Low Risk,✅ Normal,Suspicious USB activity
DTAA/AAC0344,345,14884,0.0,15229.0,43.017341040462426,0.0,-0.4588409974104323,2.955255485274016,1.0,0.3052713512335722,1.0,0.4578962510901202,0.5598064323212718,Low Risk,✅ Normal,"Abnormal login frequency, Suspicious USB activity, Web activity spike"
DTAA/AAC0599,345,14926,0.0,15271.0,43.138728323699425,0.0,-0.4588409974104323,2.966112473840351,1.0,0.2977978630257936,1.0,0.4578962510901202,0.558331768503524,Low Risk,✅ Normal,"Abnormal login frequency, Suspicious USB activity, Web activity spike"
DTAA/AAH0734,345,16740,0.0,17085.0,48.38150289017341,0.0,-0.4588409974104323,3.435030980014904,1.0,0.2222391822776243,1.0,0.3549307229606529,0.5498315200264031,Low Risk,✅ Normal,"Abnormal login frequency, Suspicious USB activity, Web activity spike"
DTAA/AAK0658,345,14715,0.0,15060.0,42.528901734104046,0.0,-0.4588409974104323,2.9115690312809073,1.0,0.32581510397418945,1.0,0.47346943423699056,0.5680529303625347,Low Risk,✅ Normal,"Abnormal login frequency, Suspicious USB activity, Web activity spike"
DTAA/AAK0924,345,18489,0.0,18834.0,53.4364161849711,0.0,-0.4588409974104323,3.887147003884416,1.0,0.10863957743241676,1.0,0.2271763329418087,0.5151508697890929,Low Risk,✅ Normal,"Abnormal login frequency, Suspicious USB activity, Web activity spike"
DTAA/AAR0508,345,18609,0.0,18954.0,53.783236994219656,0.0,-0.4588409974104323,3.918166971216801,1.0,0.10023261187568128,1.0,0.21922989520863126,0.5128502386638071,Low Risk,✅ Normal,"Abnormal login frequency, Suspicious USB activity, Web activity spike"
DTAA/AAS0709,639,16684,0.0,17323.0,26.06875,0.0,0.6128341556252064,3.420554995259791,0.766718008734717,0.24789175544024428,1.0,0.26748956514348915,0.4993596716251102,Low Risk,✅ Normal,"Suspicious USB activity, Web activity spike"
DTAA/ABB0272,738,17309,345.0,18392.0,23.422192151556157,0.4668470906630582,0.9737043602188398,3.5821173251159633,0.6323891273980874,0.19780302468653074,0.2777992458260763,0.012033251522809318,0.1931403733383502,Low Risk,✅ Normal,Web activity spike
DTAA/ABD0833,345,16568,0.0,16913.0,47.884393063583815,0.0,-0.4588409974104323,3.390569026838486,1.0,0.22583171061237686,1.0,0.37696968718097335,0.5539675661552744,Low Risk,✅ Normal,"Abnormal login frequency, Suspicious USB activity, Web activity spike"
DTAA/ABG0179,345,16589,0.0,16934.0,47.945086705202314,0.0,-0.4588409974104323,3.3959975211216533,1.0,0.2280679227046429,1.0,0.375970843579728,0.5551332460655872,Low Risk,✅ Normal,"Abnormal login frequency, Suspicious USB activity, Web activity spike"
DTAA/ABH0963,345,16812,0.0,17157.0,48.589595375722546,0.0,-0.4588409974104323,3.4536429604143355,1.0,0.21098823032142708,1.0,0.35087156470040476,0.5463476729136912,Low Risk,✅ Normal,"Abnormal login frequency, Suspicious USB activity, Web activity spike"
DTAA/ABL0836,345,20394,0.0,20739.0,58.94219653179191,0.0,-0.4588409974104323,4.379588985286028,1.0,0.024006853447600895,1.0,0.11795259052903648,0.5037846527849649,Low Risk,✅ Normal,"Abnormal login frequency, Suspicious USB activity, Web activity spike"
